,pop,zip,city,I_mean,I_median,I_stdev,I_rank,state,B_num,H_slope
0,1389,95117,San Jose,113319,95226,80222,20959,AZ,0.0,11068.464285714283
1,231,74074,Stillwater,47471,28080,47291,14310,AL,0.0,4792.821428571427
2,150,62626,Carlinville,64871,300000,33013,21924,NY,0.0,9648.53571428571
3,443,97037,Maupin,46804,39132,34510,13403,CA,0.0,22813.785714285706
4,19,67834,Bucklin,66739,51910,53848,8151,VA,0.0,985.8571428571428
5,112,85013,Phoenix,38576,25061,30902,25092,IL,1.0,-178.3928571428571
6,280,78834,Carrizo Springs,34188,20789,33737,29024,IN,0.0,4297.071428571428
7,730,70586,Ville Platte,29743,11537,44589,7054,SC,0.0,22002.60714285714
8,211,91016,Monrovia,86051,70785,65240,10116,TX,2.0,4387.5714285714275
9,982,93012,Camarillo,69044,59958,53603,8214,TX,3.0,3609.071428571428
10,230,77339,Kingwood,105067,96054,71934,32966,OH,2.0,152.7142857142857
11,74,58318,Bottineau,51612,49313,32396,16859,MA,0.0,10409.821428571426
12,246,60053,Morton Grove,103379,300000,71888,12821,VT,0.0,4619.249999999999
13,1471,89148,Las Vegas,67752,62905,39660,31017,AR,1.0,1269.4999999999998
14,527,95128,San Jose,74328,54233,66051,23259,AZ,0.0,23939.53571428571
15,430,63105,Clayton,57049,300000,43796,14247,NY,0.0,6654.3214285714275
16,912,59715,Bozeman,95811,300000,68394,24073,ME,11.0,2815.0357142857138
17,153,99507,Anchorage,89946,83403,43459,5352,WA,3.0,31675.642857142848
18,434,85387,Surprise,77691,63984,54414,2497,IL,0.0,7129.999999999998
19,2244,85032,Phoenix,103743,86769,65815,15665,IL,3.0,2554.357142857142
20,602,96003,Redding,54704,31295,54483,1437,CA,6.0,28382.178571428558
21,276,85283,Tempe,67101,58579,47130,19051,IL,4.0,1081.0714285714284
22,30,98377,Randle,48838,300000,23684,24035,CA,0.0,29226.07142857142
23,66,97023,Estacada,81581,72731,56617,201,CA,1.0,31962.107142857134
24,1307,76028,Burleson,54351,53722,26347,27556,KY,3.0,1453.392857142857
25,1247,80220,Denver,79993,53367,72783,10634,IA,2.0,4612.3214285714275
26,271,93905,Salinas,37606,30398,29741,30892,WY,0.0,2848.107142857142
27,184,71602,White Hall,95008,85442,74946,23532,GA,0.0,9374.178571428569
28,1263,98661,Vancouver,58319,49051,39328,18473,CA,4.0,30037.321428571424
29,66,67062,Hesston,53824,36725,45098,21649,MD,0.0,1053.892857142857
30,673,91723,West Covina,77334,64833,55152,2624,TX,0.0,10986.535714285712
31,43,62366,Pleasant Hill,31852,29654,24343,9956,NY,0.0,8596.714285714284
32,180,60432,Joliet,27650,23026,24163,4201,CT,0.0,8454.785714285714
33,28,59215,Circle,62475,40917,56007,24888,NH,0.0,3177.0357142857133
34,865,87505,Santa Fe,50979,44277,39888,11031,KS,2.0,6725.357142857143
35,139,82201,Wheatland,127999,300000,18725,14828,MN,0.0,11049.178571428569
36,353,98198,Seatac,47227,35505,32126,28238,CA,1.0,27889.249999999996
37,95,98392,Suquamish,85450,79544,53393,18807,CA,0.0,23279.107142857138
38,84,80459,Kremmling,50812,300000,7530,22263,IA,0.0,3743.6428571428564
39,738,61938,Mattoon,52185,44172,28633,2087,NY,0.0,16688.892857142855
40,19,74845,Hanna,31908,21435,48380,12693,TN,0.0,9025.964285714284
41,1301,60644,Chicago,42664,37632,27557,1940,NJ,0.0,44477.678571428565
42,172,62263,Nashville,65456,52617,54498,6151,NY,0.0,21431.607142857138
43,52,88043,Hurley,31107,22071,25003,1069,NE,0.0,12384.07142857143
